aaf_id,team,player,headline,blurb,date,author
MrCulWiIV_vBdrkYTrojBDpun75X,ATL,Aaron Murray,Murray can’t lead comeback off the bench,"Matt Simms got a surprise start but had a pretty short leash and Murray entered the game in the second half. Murray did not play terrible but failed to elevate the Legends to a win, throwing a pick on what would be their last drive. It is unclear who will start next week in Memphis.",2019-03-30,Jackson
Mr5k7hAZFnvFAoDhfOnpMECSCZeC,ATL,Tarean Folston,Folston bogged down by offensive woes,"Tarean Folston fell victim to a very lackluster offensive day for Atlanta and could not find a rythym on the ground. Despite getting dropped for several losses, Folston managed to accrue 51 total yards due to his incredible passing game involvement. Next week Folston faces a very tough Stallions run defense.",2019-03-30,Jackson
MpewpcPmXWw7dlR2o48Yu7NOKPbQ,ATL,Brandon Radcliff,Radcliff lost in shuffle with 6 touches,"After a few weeks of consistent passing game usage, Brandon Radcliff was non-existent in that facet of the game this past week. On the ground, Radcliff was the Legend’s best runner as he posted a 6/30/5.0 line despite the tough circumstances. Next week, Radcliff should remain the primary backup.",2019-03-30,Jackson
MgXuu1IplE-oQRh9H5EBHX0Uzs_J,ATL,Seantavius Jones,Jones continues downwards spiral.,"After only catching 1 pass last week, Senatavius Jones only caught 2 this week for 15 yards. He was a little more involved though as he saw 6 targets and a solid 91 air yards. He should be able to get back on track next week at Memphis.",2019-03-30,Jackson
MiIK7hSbu0NBdYcQyeRrXYckoMiR,ATL,Justin Thomas,Thomas is lone bright spot in win,"After bursting into the scene with 9 targets in week 6, Thomas finally hits for a 4/74 line on 5 targets. Thomas was able to make things happen after the catch and use his speed to accrue 32 YAC. Going forward, Thomas should remain a sizeable part of this offense.",2019-03-30,Jackson
MmuNa1g5wLa6Qj-ndC8Iav3eT1xT,ATL,Malachi Jones,Jones gets by with 3/48 line,"In what was an abysmal day for the Atlanta offense, Malachi Jones was lucky to get by with 7.8 fantasy points. He did see 66 air yards on 5 targets but with this offense playing like it has, Jones is going to be hard pressed to top this performance next week.",2019-03-30,Jackson
Mm7AJ6Byhebu0DEBXteDAaFkzjWH,BIR,Luis Perez,Perez gets benched after early struggles,"Despite having the lead, Luis Perez was pulled in the second half due to extremely poor performance. Perez completed 10/24 passes for 65 yards for an awful 2.7 ypa and 49.3 QBR. Perez has been playing hot as of late but it looks like his job may be in a bit of trouble going forward.",2019-03-30,Jackson
MjiTEx33U92uj4oT_o0nS86vlwP9,BIR,Trent Richardson,Richardson scores only TD in win,"Despite averaging a season high 4.6 ypc, Richardson posted his lowest fantasy output of the year. His problem was that he only caught 2 of his 4 targets for -6 yards. Even with that lack of passing game involvement, it was good to see him sort of come alive on the ground. Next week, Richardson should remain the overall RB1 in fantasy versus the Apollos.",2019-03-30,Jackson
MvmOLxRYf5EpHnnw3KboJ64aj5U8,BIR,Quinton Patton,Patton is incredibly unlucky in win,"In what could’ve been a bigger day, 2 of Patton’s touchdown catches were overturned. Patton was due for some TD regression and it looked like he was finally about to get some but was just inches away. Nevertheless he did see his lowest air yard total on the season and looks to be transitioning into a lower value role. You will have to hope some of that regression hits in the next few weeks.",2019-03-30,Jackson
MpyqEM1_gXIsD4IUZIqZWH4orGOo,BIR,L'Damian Washington,Washington posts a goose egg in win,"Coming back from injury, Washington posted a 0 after he failed to catch any of his 2 targets. While this performance was a little concerning, it can probably be chalked up to the fact that the QB play this week for the Iron was downright awful. However, if Price is the QB, expect a lot less volume for Washington going forward.",2019-03-30,Jackson
