aaf_id,team,player,headline,blurb,date,author
MrCulWiIV_vBdrkYTrojBDpun75X,ATL,Aaron Murray,Murray dazzles with over 300 yards as Legends edge Express,"Aaron Murray took full advantage of his first starting opportunity of the season, throwing for over 300 yards and scoring one touchdown and one passing two-point conversion. Murray out-dueled SEC rival Zach Mettenberger and spread the ball around, completing passes to eight different receivers. After a shaky start to the season, Atlanta seems to have found their franchise quarterback as they prepare to host a porous San Antonio defense next week.",2019-03-10,Matt Swanson
Mr5k7hAZFnvFAoDhfOnpMECSCZeC,ATL,Tarean Folston,Tarean Folson explodes as Legends offense soars,"Tarean Folston dominated in the Legends win vs Memphis, rushing for 83 yards and touchdown while catching 6 passes for 23 yards and another score. Folston, who struggled early in the season, took firm control of the Legends backfield. His two score, 106 yard performance was the biggest single game fantasy performance for a RB all season.",2019-03-13,Matt Swanson
MpewpcPmXWw7dlR2o48Yu7NOKPbQ,ATL,Brandon Radcliff,Radcliff chips in solid performance off the bench,"For the second straight week, Brandon Radcliff operated as the primary backup running back. Radcliff shared the team lead in carries (11) and added three receptions on three targets. While Tarean Folston shined the brightest, Radcliff turned in a serviceable fantasy day and should continue to see around 10-12 touches a week.",2019-03-13,Matt Swanson
Mg_WjBJbfsSmhgblX-ChTqgx2QNj,ATL,Denard Robinson,Denard Robinson falls back to earth,"After scoring in Week 4, ""Shoelace"" had a quiet outing versus Memphis. While Tarean Folston dominated, Robinson lost six yards on his only carry and could only haul in one of three targets. Robinson had a chance to carve out a role in this injury-plagued offense, but seems to have squandered his chance with a 1.3 FPT showing.",2019-03-13,Matt Swanson
MgXuu1IplE-oQRh9H5EBHX0Uzs_J,ATL,Seantavius Jones,Encouraging game for target hog Seantavius Jones,"Seantavius Jones has quietly been seeing a ton of volume all season, but his production was hindered by bad quarterback play and terrible efficiency. Many would be surprised to hear that Jones is 5th in the AAF in targets on the season -- only one behind touchdown scoring machine Rashad Ross. After Jones' worst game of the season (0 catches on two targets), the leading member of the Super Jones Bros had a bounceback game, posting 89 yards on 5 catches. Jones has yet to score, but it's only a matter of time if he continues to see this kind of volume in the new-look Aaron Murray-led offense.",2019-03-13,Matt Swanson
Mq-GmGW4EfGjMYsrlxSJKz4Rpa6d,ATL,Bug Howard,Howard contributes 59 yards in Legends victory,"Bug Howard had his best game of the season in Aaron Murray's first start, picking up 59 yards on three receptions. Murray connected with Howard on a nice catch-and-run for 31 yards early in the second quarter. It would be encouraging to see the big man get more looks in the red zone -- Howard has a mere two red zone targets on the season -- if he wants to garner serious consideration as a week-to-week playable option.",2019-03-13,Matt Swanson
MmuNa1g5wLa6Qj-ndC8Iav3eT1xT,ATL,Malachi Jones,Super Jones Bros can't seem to get it going,"Malachi Jones had a disappointing outing -- only catching two balls for 31 in a game where Aaron Murray attempted over 40 passes. Jones is seeing a consistent 5 targets a game, but outside of his lone touchdown in week two, he has not eclipsed 10 fantasy points in a game since. Until his price drops significantly, Malachi Jones is an inferior option compared to his teammate Seantavius.",2019-03-13,Matt Swanson
MseOmwcB9ERo5Yb_5ejbYhmFxa5b,BIR,Keith Price,Gutterball for Perez turns into a strike for Keith Price,"The Luis Perez Experiment appears to be over for the Iron. Keith Price was inserted during Birmingham's loss to Orlando and he provided an immediate spark. Unlike the heavy-footed Perez, Price looked light on his feet and attacked the Apollo defense with downfield throws. Price went 18/29 for 234 yards and the first Iron passing touchdown of the season. The Iron would be crazy to not turn to Price again as they travel to San Diego.",2019-03-13,Matt Swanson
MjiTEx33U92uj4oT_o0nS86vlwP9,BIR,Trent Richardson,Richardson's worst game of the season still serviceable for fantasy owners,"In a game where his starting quarterback was benched, his team got off to 17-0 deficit, and he only carried the ball eight times, Trent Richardson still found a way to score. Richardson plunged in for an unsurprising 3 yard goal-line run to open scoring for the Iron and squeaked out a usable fantasy day due to his passing game involvement (4 catches, 37 yards). It was Trent's worst game of the season, but he still mustered 15.8 FPTs -- a testament to his incredible, locked-in red zone usage.",2019-03-13,Matt Swanson
MvmOLxRYf5EpHnnw3KboJ64aj5U8,BIR,Quinton Patton,"Same old story, same bad result for Patton","Every week Quinton Patton is among the league leaders in opportunity (targets and air yards) and every week Quinton Patton has failed to produce. Patton received a massive 11 targets and 107 air yards on Saturday, but only managed to turn that into a 4 catch, 26 yard stat line. While Patton did add a 2pt reception, he remains without a touchdown on the season. There is reason to be optimistic with Keith Price under center, but Patton has yet to prove he can produce with the volume he's been given.",2019-03-13,Matt Swanson
MpyqEM1_gXIsD4IUZIqZWH4orGOo,BIR,L'Damian Washington,Quiet day for Washington in Iron loss,"It was an unremarkable game for Washington. Despite praise from coaches the past few weeks, the production was not been there for Washington. In a game where the Iron trailed from the offset, he could only muster two catches for 32 yards on five targets. Washington has yet to score more than 10 fantasy points in a game this season.",2019-03-13,Matt Swanson
MkXtS_Yu0mkc3BP5bNBQeSCOTJvC,BIR,"Wes Saxton, Jr. ",Saxton catches three for third game in a row,Iron TE Wes Saxton continued his streak of three receptions for the third week in a row. Saxton picked up an impressive 75 yards and was frequently targeted over the middle on key passing situations. Saxton has played well and provided stability for the Iron -- who have been bitten by the injury bug at the tight end position this year.,2019-03-13,Matt Swanson
MjnRSiLQsYyZvE5hxod1B0h_Ignj,MEM,Zach Mettenberger,Mett Show is eclipsed by Murray Time,"Zach Mettenberger plunged back toward reality as the Express offense sputtered against a vulnerable Atlanta defense. One week removed from a great performance against the Fleet, Mett posted a Hackenberg-esque 9/17 completion rate for under 200 yards and a pick. While the LSU star did salvage his fantasy day with another goal-line QB sneak rushing touchdown, Mettenberger may be turning back into a pumpkin after two weeks of heightened expectations.",2019-03-13,Matt Swanson
MjQz3RHcgjyoXXVYFkrbYJBL3yvn,MEM,Zac Stacy,"Stacy scores two, does best Trent Richardson impression","The good: Zac Stacy scored twice. The bad: Stacy ran for 3.2 yards per carry. It was a mixed bag for Stacy, who continues to depend on big plays to make or break his fantasy week. Stacy scored two early touchdowns, before doing nothing for a long stretch of the game, and then taking a screen pass for 31 yards late in the game to eclipse 20 fantasy points. More of a match-up driven play than an elite option, Stacy's outlook may be bolstered by the loss of backup RB Sherman Badie to IR on Tuesday.",2019-03-13,Matt Swanson
MoMLwv0BMkB3spUFMbLxO_bsFEQ3,MEM,Sherman Badie,Badie goes out with a bang,"Memphis placed RB Sherman Badie on IR following their week 5 loss. Badie worked as a spark-plug change of pace complement to Zac Stacy. During the game Badie looked electric in his limited action, nearly scoring on a 50+ yard screen pass where he looked like he was playing in a video game. Badie's injury should open up more touches for Terrence Magee.",2019-03-13,Matt Swanson
MhRTrUtStQOpZRmQASCkBgV0fhIJ,MEM,Reece Horn,Horn posts 1/29 dud,"Reece Horn is the closest thing Memphis has to a WR1 and, unfortunately, he isn't really that close. Horn did lead the team in targets -- but the volume was a measly 4. A big bodied outside WR, Horn has yet to score and remains overpriced at $5000 next week.",2019-03-13,Matt Swanson
MnFNOyNyHw3fXrcKp2lxuEu1-nwP,MEM,"Alton ""Pig"" Howard",Pig puts up a stinker,"Pig Howard -- who has the best nickname in the AAF -- posted a dreadful 1 catch for 9 yards as the Legends beat the Express. It was a bad day all around for the Memphis pass-catchers, but this marks the second time in three weeks that Howard has only had one catch. With no volume and Zac Stacy and Zach Mettenberger getting the looks in goal-line situations, there is little upside to playing Pig.",2019-03-13,Matt Swanson
MqGd44MUMsf1cWf9eclgu5gZxo_b,ORL,Garrett Gilbert,Gilbert continues MVP run with another great game,"What else is there to say about Garrett Gilbert? He's the best quarterback in the league on the best team in the league. Gilbert threw for two scores and added two passing 2pt conversions as the Unstoppable Force that is the Orlando Apollo offense had their way against the Iron Curtain in Birmingham. Gilbert is the surest thing to a lock in AAF fantasy, assuming you can accommodate his ballooning salary.",2019-03-13,Matt Swanson
MgWqgIYh39TaLl2VCdS8tsfiVWxV,ORL,D'Ernest Johnson,Johnson contributes in both facets of the game with another big performance,"Doing his best Alvin Kamara impression, D'Ernest Johnson was effective on the ground (9/49) and in the air (5/73) as he lead the Orlando backfield. The only thing that Johnson could have done better was to get into the endzone. Johnson remains the starting back for Orlando and faces a porous Arizona defense next week.",2019-03-13,Matt Swanson
